# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-a" "/home/sxy/rnaseq_project/reference/ecoli.gtf" "-o" "/home/sxy/rnaseq_project/results/counts/Ecoli_counts_CDS.txt" "-g" "transcript_id" "-t" "CDS" "-p" "/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam" 						
Geneid	Chr	Start	End	Strand	Length	/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam
gene-FAZ85_RS01625	NZ_SSTT01000001.1	317338	318525	-	1188	1725
gene-FAZ85_RS01630	NZ_SSTT01000001.1	318720	319619	+	900	1315
gene-FAZ85_RS01635	NZ_SSTT01000001.1	319664	320362	-	699	1
gene-FAZ85_RS01640	NZ_SSTT01000001.1	320561	320872	+	312	0
gene-FAZ85_RS01645	NZ_SSTT01000001.1	320987	322309	+	1323	0
gene-FAZ85_RS01650	NZ_SSTT01000001.1	322337	322648	+	312	0
gene-FAZ85_RS01655	NZ_SSTT01000001.1	322704	324377	+	1674	0
gene-FAZ85_RS01660	NZ_SSTT01000001.1	324402	325802	+	1401	0
gene-FAZ85_RS01665	NZ_SSTT01000001.1	325898	326116	-	219	308
gene-FAZ85_RS01670	NZ_SSTT01000001.1	326148	326531	-	384	506
gene-FAZ85_RS01675	NZ_SSTT01000001.1	326551	326985	-	435	680
gene-FAZ85_RS01680	NZ_SSTT01000001.1	327197	327862	+	666	921
